id_microrregiao,fk_id_estado,fk_id_mesorregiao,nome
001,11,01,"Porto Velho"
001,12,01,"Cruzeiro do Sul"
001,13,01,"Rio Negro"
001,14,01,"Boa Vista"
001,15,01,Óbidos
001,16,01,Oiapoque
001,17,01,"Bico do Papagaio"
001,21,01,"Litoral Ocidental Maranhense"
001,22,01,"Baixo Parnaíba Piauiense"
001,23,01,"Litoral de Camocim e Acaraú"
001,24,01,Mossoró
001,25,01,"Catolé do Rocha"
001,26,01,Araripina
001,27,01,"Serrana do Sertão Alagoano"
001,28,01,"Sergipana do Sertão do São Francisco"
001,29,01,Barreiras
001,31,01,Unaí
001,32,01,"Barra de São Francisco"
001,33,01,Itaperuna
001,35,01,Jales
001,41,01,Paranavaí
001,42,01,"São Miguel do Oeste"
001,43,01,"Santa Rosa"
001,50,01,"Baixo Pantanal"
001,51,01,Aripuanã
001,52,01,"São Miguel do Araguaia"
001,53,01,Brasília
002,11,01,Guajará-Mirim
002,12,01,Tarauacá
002,13,01,Japurá
002,14,01,"Nordeste de Roraima"
002,15,01,Santarém
002,16,01,Amapá
002,17,01,Araguaína
002,21,01,"Aglomeração Urbana de São Luís"
002,22,01,"Litoral Piauiense"
002,23,01,Ibiapaba
002,24,01,"Chapada do Apodi"
002,25,01,Cajazeiras
002,26,01,Salgueiro
002,27,01,"Alagoana do Sertão do São Francisco"
002,28,01,Carira
002,29,01,Cotegipe
002,31,01,Paracatu
002,32,01,"Nova Venécia"
002,33,01,"Santo Antônio de Pádua"
002,35,01,Fernandópolis
002,41,01,Umuarama
002,42,01,Chapecó
002,43,01,"Três Passos"
002,50,01,Aquidauana
002,51,01,"Alta Floresta"
002,52,01,"Rio Vermelho"
003,11,02,Ariquemes
003,12,02,"Sena Madureira"
003,13,02,"Alto Solimões"
003,14,02,Caracaraí
003,15,01,Almeirim
003,16,02,Macapá
003,17,01,"Miracema do Tocantins"
003,21,01,Rosário
003,22,02,Teresina
003,23,01,Coreaú
003,24,01,"Médio Oeste"
003,25,01,Sousa
003,26,01,Pajeú
003,27,01,"Santana do Ipanema"
003,28,02,"Nossa Senhora das Dores"
003,29,01,"Santa Maria da Vitória"
003,31,02,Januária
003,32,01,Colatina
003,33,02,"Campos dos Goytacazes"
003,35,01,Votuporanga
003,41,01,Cianorte
003,42,01,Xanxerê
003,43,01,"Frederico Westphalen"
003,50,02,"Alto Taquari"
003,51,01,Colíder
003,52,01,Aragarças
004,11,02,Ji-Paraná
004,12,02,"Rio Branco"
004,13,02,Juruá
004,14,02,"Sudeste de Roraima"
004,15,02,Portel
004,16,02,Mazagão
004,17,01,"Rio Formoso"
004,21,01,"Lençóis Maranhenses"
004,22,02,"Campo Maior"
004,23,01,Meruoca
004,24,01,"Vale do Açu"
004,25,01,Patos
004,26,01,"Sertão do Moxotó"
004,27,01,Batalha
004,28,02,"Agreste de Itabaiana"
004,29,02,Juazeiro
004,31,02,Janaúba
004,32,02,Montanha
004,33,02,Macaé
004,35,01,"São José do Rio Preto"
004,41,02,Goioerê
004,42,01,Joaçaba
004,43,01,Erechim
004,50,02,"Campo Grande"
004,51,01,Parecis
004,52,02,Porangatu
005,11,02,"Alvorada D'Oeste"
005,12,02,Brasiléia
005,13,03,Tefé
005,15,02,"Furos de Breves"
005,17,01,Gurupi
005,21,01,"Baixada Maranhense"
005,22,02,"Médio Parnaíba Piauiense"
005,23,01,Sobral
005,24,01,"Serra de São Miguel"
005,25,01,Piancó
005,26,02,Petrolina
005,27,02,"Palmeira dos Índios"
005,28,02,"Tobias Barreto"
005,29,02,"Paulo Afonso"
005,31,02,Salinas
005,32,02,"São Mateus"
005,33,03,"Três Rios"
005,35,01,Catanduva
005,41,02,"Campo Mourão"
005,42,01,Concórdia
005,43,01,Sananduva
005,50,03,Cassilândia
005,51,01,Arinos
005,52,02,"Chapada dos Veadeiros"
006,11,02,Cacoal
006,13,03,Coari
006,15,02,Arari
006,17,02,"Porto Nacional"
006,21,01,"Itapecuru Mirim"
006,22,02,"Valença do Piauí"
006,23,01,Ipu
006,24,01,"Pau dos Ferros"
006,25,01,Itaporanga
006,26,02,Itaparica
006,27,02,Arapiraca
006,28,02,"Agreste de Lagarto"
006,29,02,Barra
006,31,02,Pirapora
006,32,02,Linhares
006,33,03,Cantagalo-Cordeiro
006,35,01,Auriflama
006,41,03,Astorga
006,42,02,Canoinhas
006,43,01,"Cerro Largo"
006,50,03,Paranaíba
006,51,01,"Alto Teles Pires"
006,52,03,Ceres
007,11,02,Vilhena
007,13,03,Manaus
007,15,03,Belém
007,17,02,Jalapão
007,21,02,Gurupi
007,22,03,"Alto Parnaíba Piauiense"
007,23,01,"Santa Quitéria"
007,24,01,Umarizal
007,25,01,"Serra do Teixeira"
007,26,03,"Vale do Ipanema"
007,27,02,Traipu
007,28,03,Propriá
007,29,02,"Bom Jesus da Lapa"
007,31,02,"Montes Claros"
007,32,03,"Afonso Cláudio"
007,33,03,"Nova Friburgo"
007,35,01,Nhandeara
007,41,03,Porecatu
007,42,02,"São Bento do Sul"
007,43,01,"Santo Ângelo"
007,50,03,"Três Lagoas"
007,51,01,Sinop
007,52,03,Anápolis
008,11,02,"Colorado do Oeste"
008,13,03,"Rio Preto da Eva"
008,15,03,Castanhal
008,17,02,Dianópolis
008,21,02,Pindaré
008,22,03,Bertolínia
008,23,02,Itapipoca
008,24,02,Macau
008,25,02,"Seridó Ocidental Paraibano"
008,26,03,"Vale do Ipojuca"
008,27,03,"Serrana dos Quilombos"
008,28,03,Cotinguiba
008,29,03,"Senhor do Bonfim"
008,31,02,"Grão Mogol"
008,32,03,"Santa Teresa"
008,33,03,"Santa Maria Madalena"
008,35,01,"Novo Horizonte"
008,41,03,Floraí
008,42,02,Joinville
008,43,01,Ijuí
008,50,03,"Nova Andradina"
008,51,01,Paranatinga
008,52,03,Iporá
