raiz_id_cidade,mes,dia
110001,22,10
110002,11,10
110003,5,7
110004,26,11
110005,5,8
110006,16,5
110007,13,2
110008,16,6
110009,16,6
110010,10,4
110011,7,11
110012,22,11
110013,11,5
110014,19,6
110015,16,6
110018,24,6
110020,2,10
110025,16,5
110026,13,2
110028,5,8
110029,11,5
110030,23,11
110032,6,7
110033,21,7
110034,21,3
110037,22,6
110040,13,2
110045,27,12
110050,13,2
110060,26,5
110070,13,2
110080,13,2
110090,13,2
110092,27,12
110094,22,6
110100,13,2
110110,13,2
110120,13,2
110130,13,2
110140,13,2
110143,22,6
110145,4,7
110146,27,12
110147,22,11
110148,22,6
110149,27,12
110150,13,2
110155,22,6
110160,13,2
110170,13,2
110175,22,6
110180,28,4
120001,25,4
120005,14,5
120010,3,7
120013,28,4
120017,28,4
120020,28,9
120025,28,4
120030,21,12
120032,28,4
120033,30,5
120034,14,5
120035,5,11
120038,30,3
120039,28,4
120040,28,12
120042,28,7
120043,28,4
120045,14,5
120050,25,9
120060,24,4
120070,22,3
120080,28,4
130002,10,12
130006,2,7
130008,10,12
130010,29,12
130014,30,12
130020,23,2
130030,3,3
130040,6,5
130050,9,6
130060,29,1
130063,10,12
130068,31,1
130070,22,10
130080,1,1
130083,28,12
130090,10,10
130100,27,9
130110,19,12
130115,1,12
130120,2,8
130130,31,3
130140,8,9
130150,31,1
130160,31,3
130165,12,12
130170,15,5
130180,18,2
130185,10,12
130190,25,4
130195,19,12
130200,24,7
130210,19,12
130220,19,12
130230,11,4
130240,7,3
130250,16,7
130255,25,2
130260,24,10
130270,15,5
130280,25,3
130290,25,6
130300,31,1
130310,19,12
130320,19,12
130330,19,12
130340,15,10
130350,19,3
130353,10,12
130356,31,3
130360,29,12
130370,13,3
130380,3,9
130390,31,5
130395,10,12
130400,23,1
130406,1,2
130410,19,12
130420,15,6
130423,10,12
130426,10,12
130430,12,5
130440,24,1
140002,17,10
140005,1,7
140010,9,7
140015,1,7
140017,17,10
140020,27,5
140023,4,11
140028,4,11
140030,1,7
140040,1,7
140045,17,10
140047,17,10
140050,1,7
140060,1,7
140070,17,10
150010,15,8
150013,27,12
150020,19,9
150030,2,8
150034,13,12
150040,10,6
150050,23,8
150060,6,11
150070,25,11
150080,3,1
150085,28,12
150090,28,3
150095,20,12
150100,22,8
150110,25,3
150120,30,10
150125,15,10
150130,14,8
150140,12,1
150145,4,5
150150,29,12
150157,10,5
150160,29,12
150170,8,7
150172,13,12
150175,10,5
150178,13,12
150180,30,11
150190,30,12
150195,28,12
150200,10,5
150210,24,12
150215,5,10
150220,31,7
150230,29,12
150240,28,1
150250,6,6
150260,29,12
150270,30,5
150275,10,5
150276,27,12
150277,10,5
150280,4,7
150285,28,12
150290,4,10
150293,10,5
150295,13,12
150300,27,12
150304,21,4
150307,10,5
150309,13,12
150310,11,11
150320,26,10
150330,23,5
150340,30,12
150345,13,12
150350,16,12
150360,15,12
150370,14,7
150375,13,12
150380,29,12
150390,9,4
150400,29,12
150405,11,5
150410,27,3
150420,5,4
150430,28,5
150440,12,10
150442,21,4
150445,12,5
150450,30,12
150460,6,7
150470,28,8
150475,5,12
150480,15,3
150490,28,5
150495,29,12
150497,20,10
150500,30,12
150503,13,12
150506,20,12
150510,2,10
150520,26,12
150530,9,6
150540,29,5
150543,10,5
150548,10,5
150549,13,12
150550,23,1
150553,10,5
150555,29,1
150560,29,12
150563,29,12
150565,26,9
150570,30,4
150580,24,1
150590,19,11
150600,7,1
150610,11,2
150611,1,1
150613,13,5
150616,13,5
150618,13,5
150619,12,2
150620,22,10
150630,10,3
150635,13,12
150640,8,4
150650,31,1
150655,13,12
150658,10,5
150660,29,12
150670,7,11
150680,22,6
150690,14,3
150700,29,12
150710,14,8
150715,26,12
150720,9,12
150730,10,4
150740,30,12
150745,10,5
150746,27,12
150747,10,5
150750,10,5
150760,31,10
150770,24,6
150775,24,4
150780,29,12
150790,20,1
150795,10,5
150796,1,1
150797,13,12
150800,1,9
150803,29,9
150805,13,12
150808,10,5
150810,31,12
150812,13,12
150815,13,9
150820,6,1
150830,31,10
150835,13,12
150840,13,5
160005,1,5
160010,22,10
160015,1,5
160020,22,12
160021,1,5
160023,17,12
160025,1,5
160027,17,12
160030,4,2
160040,23,1
160050,23,5
160053,1,5
160055,1,5
160060,17,12
160070,17,12
160080,8,9
170025,1,5
170030,26,5
170035,10,1
170040,30,1
170070,11,11
170100,14,10
170105,20,2
170110,1,6
170130,14,6
170190,28,7
170200,14,11
170210,14,11
170215,20,2
170220,9,6
170230,7,11
170240,1,8
170255,14,5
170270,29,10
170290,14,10
170300,23,6
170305,26,5
170307,26,4
170310,11,1
170320,1,6
170330,20,2
170360,21,12
170370,14,11
170380,1,6
170382,10,2
170384,1,1
170386,20,2
170388,20,1
170389,20,2
170390,1,6
170410,20,2
170460,26,5
170510,28,9
170550,21,4
170555,1,6
170560,7,8
170600,1,10
170610,23,6
170625,26,5
170650,13,6
170700,26,8
170710,1,6
170720,4,9
170730,14,11
170740,10,2
170755,14,5
170765,10,6
170770,1,1
170820,1,10
170825,20,2
170830,1,6
170900,12,11
170930,11,4
170950,14,11
170980,19,12
171050,12,11
171070,18,8
171090,10,2
171110,8,10
171150,7,9
171180,5,10
171190,10,2
171195,10,2
171200,5,5
171215,19,12
171240,11,11
171245,26,5
171250,1,6
171270,20,2
171280,20,2
171320,25,8
171330,8,11
171360,23,10
171370,1,1
171380,10,2
171395,20,8
171420,1,6
171430,14,11
171488,10,6
171500,1,6
171510,14,11
171515,5,10
171525,10,2
171550,26,5
171570,20,2
171575,10,6
171610,23,10
171620,23,10
171630,10,2
171650,15,7
171660,20,6
171665,1,6
171670,14,5
171700,8,10
171720,1,1
171750,23,6
171780,14,11
171790,14,11
171800,14,1
171820,13,7
171830,1,6
171840,31,12
171845,26,5
171850,20,7
171855,20,2
171865,20,2
171870,5,6
171875,14,5
171880,1,6
171884,12,10
171886,23,10
171888,10,6
171889,26,5
171890,1,6
171900,1,6
172000,26,5
172010,10,2
172015,22,2
172020,20,2
172025,20,2
172030,1,10
172049,1,1
172065,10,6
172080,14,10
172085,20,2
172090,10,6
172093,10,2
172097,26,5
172100,20,5
172110,7,10
172120,28,7
172125,26,5
172130,1,1
172208,1,2
172210,14,11
210005,6,6
210010,25,3
210015,10,11
210020,22,12
210030,11,2
210040,20,1
210043,10,11
210047,10,11
210050,19,5
210055,10,10
210060,21,10
210070,22,7
210080,13,11
210083,1,1
210087,10,11
210090,29,3
210095,17,1
210100,27,6
210110,23,9
210120,17,4
210125,10,11
210130,2,1
210135,19,6
210140,22,3
210150,29,3
210160,3,5
210170,9,6
210173,10,11
210177,10,11
210180,15,7
210190,19,6
210193,10,11
210197,10,11
210200,14,3
210203,10,11
210207,1,1
210210,11,7
210215,10,11
210220,6,12
210230,5,7
210232,10,11
210235,10,11
210237,1,1
210240,11,5
210250,15,11
210255,10,11
210260,22,11
210270,24,9
210275,1,1
210280,8,7
210290,31,12
210300,1,8
210310,9,6
210312,10,11
210315,10,11
210317,10,11
210320,29,3
210325,10,11
210330,16,4
210340,31,10
210350,10,4
210355,10,11
210360,8,4
210370,3,10
210375,25,7
210380,9,12
210390,1,1
210400,27,6
210405,12,5
210407,10,11
210408,10,11
210409,10,11
210410,31,12
210420,18,1
210430,9,6
210440,31,12
210450,10,10
210455,10,11
210460,11,3
210462,19,6
210465,11,11
210467,10,11
210470,13,10
210480,29,4
210490,19,1
210500,25,10
210510,26,10
210515,29,9
210520,20,1
210530,16,7
210535,10,11
210540,21,7
210542,10,11
210545,10,11
210547,10,11
210550,15,12
210560,26,12
210565,10,11
210570,1,1
210580,26,10
210590,29,11
210592,10,11
210594,10,11
210596,10,11
210598,10,11
210600,15,1
210610,10,11
210620,26,12
210630,1,10
210632,10,11
210635,1,1
210637,10,11
210640,11,3
210650,15,2
210660,30,12
210663,10,11
210667,10,11
210670,29,3
210675,15,3
210680,1,2
210690,17,7
210700,22,12
210710,28,4
210720,30,10
210725,10,11
210730,11,5
210735,10,11
210740,30,11
210745,6,9
210750,14,1
210760,17,1
210770,24,9
210780,10,4
210790,8,5
210800,28,7
210805,10,11
210810,20,1
210820,27,4
210825,10,11
210830,10,8
210840,31,3
210845,1,1
210850,28,7
210860,3,9
210870,19,11
210880,11,12
210890,20,1
210900,2,4
210905,10,11
210910,28,6
210920,30,12
210923,10,11
210927,1,1
210930,13,2
210940,16,10
210945,10,11
210950,29,4
210955,10,11
210960,6,4
210970,31,10
210975,10,11
210980,30,9
210990,14,3
211000,26,3
211003,30,11
211010,16,4
211020,2,12
211023,19,7
211027,10,11
211030,30,12
211040,21,10
211050,30,3
211060,29,3
211065,10,11
211070,24,9
211080,12,4
211085,10,11
211090,10,5
211100,14,6
211102,10,11
211105,10,11
211107,10,11
211110,12,6
211120,24,9
211125,10,11
211130,8,9
211140,30,12
211150,26,12
211153,10,11
211157,10,11
211160,10,2
211163,10,11
211167,10,11
211170,27,8
211172,10,11
211174,10,11
211176,10,11
211178,1,1
211180,15,12
211190,13,1
211195,10,11
211200,19,12
211210,5,4
211220,22,12
211223,10,11
211227,19,6
211230,8,1
211240,11,7
211245,10,11
211250,28,3
211260,10,6
211270,29,3
211280,8,7
211285,10,11
211290,19,4
211300,25,9
211400,4,10
220005,1,1
220010,30,12
220020,1,7
220025,9,4
220027,29,4
220030,1,1
220040,12,10
220045,26,1
220050,4,8
220060,24,7
220070,5,12
220080,31,3
220090,27,2
220095,27,10
220100,9,12
220105,12,12
220110,10,11
220115,29,4
220117,26,1
220120,24,9
220130,5,12
220140,5,12
220150,15,12
220155,26,1
220157,14,12
220160,7,7
220170,22,1
220173,26,1
220177,26,1
220180,10,4
220190,17,12
220191,29,4
220192,29,4
220194,26,1
220196,21,7
220198,26,1
220200,4,9
220202,29,4
220205,29,4
220207,14,12
220208,14,12
220209,29,4
220210,15,4
220211,27,12
220213,26,1
220217,26,1
220220,8,8
220225,29,4
220230,15,12
220240,10,3
220245,26,1
220250,22,8
220253,27,12
220255,26,1
220260,12,9
220265,27,12
220270,22,8
220271,14,12
220272,27,12
220273,29,4
220275,29,4
220277,29,4
220280,1,7
220285,29,4
220290,8,12
220300,5,12
220310,29,10
220320,29,10
220323,26,1
220325,14,12
220327,26,1
220330,9,12
220335,30,11
220340,5,4
220342,29,12
220345,7,6
220350,13,5
220360,20,10
220370,28,9
220375,19,1
220380,18,4
220385,14,12
220390,8,7
220400,2,5
220410,2,12
220415,14,12
220420,9,9
220430,9,6
220435,26,1
220440,4,9
220450,25,8
220455,24,1
220460,1,4
220465,26,1
220470,13,6
220480,15,12
220490,9,12
220500,1,6
220510,29,10
220515,29,4
220520,21,2
220525,29,4
220527,14,12
220530,5,2
220535,14,12
220540,28,12
220545,14,12
220550,7,4
220551,1,10
220552,26,1
220553,20,1
220554,14,12
220555,29,4
220556,29,4
220557,26,1
220558,14,12
220559,26,1
220560,9,11
220570,26,7
220580,10,3
220585,14,12
220590,31,3
220595,29,4
220600,28,12
220605,13,12
220610,1,6
220620,24,5
220630,9,12
220635,12,12
220640,6,12
220650,30,11
220660,30,6
220665,26,1
220667,14,12
220669,14,12
220670,8,9
220672,13,12
220675,26,1
220680,15,12
220690,15,11
220695,26,1
220700,26,12
220710,14,12
220720,17,1
220730,28,12
220735,26,1
220740,9,7
220750,9,7
220755,26,1
220760,19,6
220770,14,8
220775,29,4
220777,29,4
220779,29,1
220780,15,12
220785,26,1
220790,11,8
220793,14,12
220795,26,1
220800,12,12
220810,25,7
220820,8,8
220830,28,12
220840,4,7
220850,25,6
220855,14,12
220860,1,1
220865,29,4
220870,5,12
220880,2,12
220885,14,12
220887,14,12
220890,26,7
220900,12,6
220910,30,11
220915,29,4
220920,29,9
220930,5,12
220935,29,4
220937,29,4
220940,9,4
220945,14,12
220950,14,12
220955,29,4
220960,29,7
220965,14,12
220970,30,11
220975,27,12
220980,30,3
220985,11,4
220987,26,1
220990,19,12
220995,24,1
220997,12,12
221000,5,7
221005,29,4
221010,25,12
221020,12,4
221030,18,12
221035,29,4
221037,14,12
221038,13,12
221039,27,12
221040,25,3
221050,21,6
221060,26,6
221062,1,1
221063,24,1
221065,29,4
221070,22,7
221080,4,9
221090,27,12
221093,14,12
221095,14,12
