Microrregião Geográfica,UF,Mesorregião Geográfica,Nome_Microrregião
001,11,01,Porto Velho
002,11,01,Guajará-Mirim
003,11,02,Ariquemes
004,11,02,Ji-Paraná
005,11,02,Alvorada D'Oeste
006,11,02,Cacoal
007,11,02,Vilhena
008,11,02,Colorado do Oeste
001,12,01,Cruzeiro do Sul
002,12,01,Tarauacá
003,12,02,Sena Madureira
004,12,02,Rio Branco
005,12,02,Brasiléia
001,13,01,Rio Negro
002,13,01,Japurá
003,13,02,Alto Solimões
004,13,02,Juruá
005,13,03,Tefé
006,13,03,Coari
007,13,03,Manaus
008,13,03,Rio Preto da Eva
009,13,03,Itacoatiara
010,13,03,Parintins
011,13,04,Boca do Acre
012,13,04,Purus
013,13,04,Madeira
001,14,01,Boa Vista
002,14,01,Nordeste de Roraima
003,14,02,Caracaraí
004,14,02,Sudeste de Roraima
001,15,01,Óbidos
002,15,01,Santarém
003,15,01,Almeirim
004,15,02,Portel
005,15,02,Furos de Breves
006,15,02,Arari
007,15,03,Belém
008,15,03,Castanhal
009,15,04,Salgado
010,15,04,Bragantina
011,15,04,Cametá
012,15,04,Tomé-Açu
013,15,04,Guamá
014,15,05,Itaituba
015,15,05,Altamira
016,15,06,Tucuruí
017,15,06,Paragominas
018,15,06,São Félix do Xingu
019,15,06,Parauapebas
020,15,06,Marabá
021,15,06,Redenção
022,15,06,Conceição do Araguaia
001,16,01,Oiapoque
002,16,01,Amapá
003,16,02,Macapá
004,16,02,Mazagão
001,17,01,Bico do Papagaio
002,17,01,Araguaína
003,17,01,Miracema do Tocantins
004,17,01,Rio Formoso
005,17,01,Gurupi
006,17,02,Porto Nacional
007,17,02,Jalapão
008,17,02,Dianópolis
001,21,01,Litoral Ocidental Maranhense
002,21,01,Aglomeração Urbana de São Luís
003,21,01,Rosário
004,21,01,Lençóis Maranhenses
005,21,01,Baixada Maranhense
006,21,01,Itapecuru Mirim
007,21,02,Gurupi
008,21,02,Pindaré
009,21,02,Imperatriz
010,21,03,Médio Mearim
011,21,03,Alto Mearim e Grajaú
012,21,03,Presidente Dutra
013,21,04,Baixo Parnaíba Maranhense
014,21,04,Chapadinha
015,21,04,Codó
016,21,04,Coelho Neto
017,21,04,Caxias
018,21,04,Chapadas do Alto Itapecuru
019,21,05,Porto Franco
020,21,05,Gerais de Balsas
021,21,05,Chapadas das Mangabeiras
001,22,01,Baixo Parnaíba Piauiense
002,22,01,Litoral Piauiense
003,22,02,Teresina
004,22,02,Campo Maior
005,22,02,Médio Parnaíba Piauiense
006,22,02,Valença do Piauí
007,22,03,Alto Parnaíba Piauiense
008,22,03,Bertolínia
009,22,03,Floriano
010,22,03,Alto Médio Gurguéia
011,22,03,São Raimundo Nonato
012,22,03,Chapadas do Extremo Sul Piauiense
013,22,04,Picos
014,22,04,Pio IX
015,22,04,Alto Médio Canindé
001,23,01,Litoral de Camocim e Acaraú
002,23,01,Ibiapaba
003,23,01,Coreaú
004,23,01,Meruoca
005,23,01,Sobral
006,23,01,Ipu
007,23,01,Santa Quitéria
008,23,02,Itapipoca
009,23,02,Baixo Curu
010,23,02,Uruburetama
011,23,02,Médio Curu
012,23,02,Canindé
013,23,02,Baturité
014,23,02,Chorozinho
015,23,02,Cascavel
016,23,03,Fortaleza
017,23,03,Pacajus
018,23,04,Sertão de Cratéus
019,23,04,Sertão de Quixeramobim
020,23,04,Sertão de Inhamuns
021,23,04,Sertão de Senador Pompeu
022,23,05,Litoral de Aracati
023,23,05,Baixo Jaguaribe
024,23,05,Médio Jaguaribe
025,23,05,Serra do Pereiro
026,23,06,Iguatu
027,23,06,Várzea Alegre
028,23,06,Lavras da Mangabeira
029,23,07,Chapada do Araripe
030,23,07,Caririaçu
031,23,07,Barro
032,23,07,Cariri
033,23,07,Brejo Santo
001,24,01,Mossoró
002,24,01,Chapada do Apodi
003,24,01,Médio Oeste
004,24,01,Vale do Açu
005,24,01,Serra de São Miguel
006,24,01,Pau dos Ferros
007,24,01,Umarizal
008,24,02,Macau
009,24,02,Angicos
010,24,02,Serra de Santana
011,24,02,Seridó Ocidental
012,24,02,Seridó Oriental
013,24,03,Baixa Verde
014,24,03,Borborema Potiguar
015,24,03,Agreste Potiguar
016,24,04,Litoral Nordeste
017,24,04,Macaíba
018,24,04,Natal
019,24,04,Litoral Sul
001,25,01,Catolé do Rocha
002,25,01,Cajazeiras
003,25,01,Sousa
004,25,01,Patos
005,25,01,Piancó
006,25,01,Itaporanga
